indicator,name
DP.DOD.DLTC.CR.L1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, All instruments, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.M1.BC.Z1,"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, All instruments, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.M1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in more than one year, All instruments, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.M1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, All instruments, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.M1.GG.Z1,"Gross PSD, General Gov., Long-term, With payment due in more than one year, All instruments, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.M1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, All instruments, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, All instruments, Nominal Value, % of GDP"
DP.DOD.DSCD.CR.BC.Z1,"Gross PSD, Budgetary Central Gov., Short-term, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DSCD.CR.CG.Z1,"Gross PSD, Central Gov., Short-term, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DSCD.CR.FC.Z1,"Gross PSD, Financial Public Corp., Short-term, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DSCD.CR.GG.Z1,"Gross PSD, General Gov., Short-term, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DSCD.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Short-term, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DSDS.CR.BC.Z1,"Gross PSD, Budgetary Central Gov., Short-term, Debt securities, Nominal Value, % of GDP"
DP.DOD.DSDS.CR.CG.Z1,"Gross PSD, Central Gov., Short-term, Debt securities, Nominal Value, % of GDP"
DP.DOD.DSDS.CR.FC.Z1,"Gross PSD, Financial Public Corp., Short-term, Debt securities, Nominal Value, % of GDP"
DP.DOD.DSDS.CR.GG.Z1,"Gross PSD, General Gov., Short-term, Debt securities, Nominal Value, % of GDP"
DP.DOD.DSDS.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Short-term, Debt securities, Nominal Value, % of GDP"
DP.DOD.DSIN.CR.BC.Z1,"Gross PSD, Budgetary Central Gov., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DSIN.CR.CG.Z1,"Gross PSD, Central Gov., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DSIN.CR.FC.Z1,"Gross PSD, Financial Public Corp., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DSIN.CR.GG.Z1,"Gross PSD, General Gov., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DSIN.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DSLO.CR.BC.Z1,"Gross PSD, Budgetary Central Gov., Short-term, Loans, Nominal Value, % of GDP"
DP.DOD.DSLO.CR.CG.Z1,"Gross PSD, Central Gov., Short-term, Loans, Nominal Value, % of GDP"
DP.DOD.DSLO.CR.FC.Z1,"Gross PSD, Financial Public Corp., Short-term, Loans, Nominal Value, % of GDP"
DP.DOD.DSLO.CR.GG.Z1,"Gross PSD, General Gov., Short-term, Loans, Nominal Value, % of GDP"
DP.DOD.DSLO.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Short-term, Loans, Nominal Value, % of GDP"
DP.DOD.DSOA.CR.BC.Z1,"Gross PSD, Budgetary Central Gov., Short-term, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DSOA.CR.CG.Z1,"Gross PSD, Central Gov., Short-term, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DSOA.CR.FC.Z1,"Gross PSD, Financial Public Corp., Short-term, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DSOA.CR.GG.Z1,"Gross PSD, General Gov., Short-term, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DSOA.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Short-term, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DSTC.CR.BC.Z1,"Gross PSD, Budgetary Central Gov., Short-term, All instruments, Nominal Value, % of GDP"
DP.DOD.DSTC.CR.CG.Z1,"Gross PSD, Central Gov., Short-term, All instruments, Nominal Value, % of GDP"
DP.DOD.DSTC.CR.FC.Z1,"Gross PSD, Financial Public Corp., Short-term, All instruments, Nominal Value, % of GDP"
DP.DOD.DSTC.CR.GG.Z1,"Gross PSD, General Gov., Short-term, All instruments, Nominal Value, % of GDP"
DP.DOD.DSTC.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Short-term, All instruments, Nominal Value, % of GDP"
DT.AMT.DLTT.CD.CB.AR.03.US,"Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 0 to 3, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.CB.AR.0912.US,"Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 9 to 12, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.CB.AR.1218.US,"Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 12 to 18, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.CB.AR.1824.US,"Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 18 to 24, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.CB.AR.24P.US,"Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 2yrs, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.CB.AR.36.US,"Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 3 to 6, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.CB.AR.69.US,"Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 6 to 9, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.CB.AR.IQ.US,"Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, Immediate, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.GG.AR.03.US,"Gross Ext. Debt Pmt, General Government, More than 0 to 3, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.GG.AR.0912.US,"Gross Ext. Debt Pmt, General Government, More than 9 to 12, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.GG.AR.1218.US,"Gross Ext. Debt Pmt, General Government, More than 12 to 18, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.GG.AR.1824.US,"Gross Ext. Debt Pmt, General Government, More than 18 to 24, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.GG.AR.24P.US,"Gross Ext. Debt Pmt, General Government, More than 2yrs, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.GG.AR.36.US,"Gross Ext. Debt Pmt, General Government, More than 3 to 6, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.GG.AR.69.US,"Gross Ext. Debt Pmt, General Government, More than 6 to 9, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.GG.AR.IQ.US,"Gross Ext. Debt Pmt, General Government, Immediate, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.MA.AR.03.US,"Gross Ext. Debt Pmt, Central Bank, More than 0 to 3, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.MA.AR.0912.US,"Gross Ext. Debt Pmt, Central Bank, More than 9 to 12, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.MA.AR.1218.US,"Gross Ext. Debt Pmt, Central Bank, More than 12 to 18, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.MA.AR.1824.US,"Gross Ext. Debt Pmt, Central Bank, More than 18 to 24, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.MA.AR.24P.US,"Gross Ext. Debt Pmt, Central Bank, More than 2yrs, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.MA.AR.36.US,"Gross Ext. Debt Pmt, Central Bank, More than 3 to 6, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.MA.AR.69.US,"Gross Ext. Debt Pmt, Central Bank, More than 6 to 9, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.MA.AR.IQ.US,"Gross Ext. Debt Pmt, Central Bank, Immediate, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.OT.AR.03.US,"Gross Ext. Debt Pmt, Other Sectors, More than 0 to 3, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.OT.AR.0912.US,"Gross Ext. Debt Pmt, Other Sectors, More than 9 to 12, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.OT.AR.1218.US,"Gross Ext. Debt Pmt, Other Sectors, More than 12 to 18, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.OT.AR.1824.US,"Gross Ext. Debt Pmt, Other Sectors, More than 18 to 24, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.OT.AR.24P.US,"Gross Ext. Debt Pmt, Other Sectors, More than 2yrs, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.OT.AR.36.US,"Gross Ext. Debt Pmt, Other Sectors, More than 3 to 6, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.OT.AR.69.US,"Gross Ext. Debt Pmt, Other Sectors, More than 6 to 9, Trade credit and advances, Principal, USD"
DT.AMT.DLTT.CD.OT.AR.IQ.US,"Gross Ext. Debt Pmt, Other Sectors, Immediate, Trade credit and advances, Principal, USD"
DT.DOD.ALLC.ZSG,Debt on Concessional terms to GDP (% of GDP)
DT.DOD.ALLN.ZSG,Debt on Non-concessional terms to GDP (% of GDP)
DT.DOD.DECT.CD.ZSG,"Debt outstanding and disbursed, Total to GDP (% of GDP)"
DT.DOD.DLTT.CD.CB.AR.BE.US,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Trade credit and advances, Beginning of period, USD"
DT.DOD.DLTT.CD.CB.AR.EA.US,"Ext. Assets in Debt Instruments, Deposit-Taking Corp., exc. CB, Long-term, Trade credit and advances, USD"
DT.DOD.DLTT.CD.CB.AR.EN.US,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Trade credit and advances, end of period, USD"
DT.DOD.DLTT.CD.CB.AR.EX.US,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Trade credit and advances, Exchange rate chg, USD"
DT.DOD.DLTT.CD.CB.AR.GE.US,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Trade credit and advances, Beginning pos., USD"
DT.DOD.DLTT.CD.CB.AR.NE.US,"Net Ext. Debt Position, Deposit-Taking Corp., exc. CB, Long-term, Trade credit and advances, USD"
DT.DOD.DLTT.CD.CB.AR.OC.US,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Trade credit and advances, Other chg in vol., USD"
DT.DOD.DLTT.CD.CB.AR.PX.US,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Trade credit and advances, Other price chg, USD"
DT.DOD.DLTT.CD.CB.AR.TR.US,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Trade credit and advances, Transactions, USD"
DT.DOD.DLTT.CD.CB.AR.US,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Trade credit and advances, USD"
DT.DOD.DLTT.CD.GG.AR.BE.US,"Gross Ext. Debt Pos., General Government, Long-term, Trade credit and advances, Beginning of period, USD"
DT.DOD.DLTT.CD.GG.AR.EA.US,"Ext. Assets in Debt Instruments, General Government, Long-term, Trade credit and advances, USD"
DT.DOD.DLTT.CD.GG.AR.EN.US,"Gross Ext. Debt Pos., General Government, Long-term, Trade credit and advances, end of period, USD"
DT.DOD.DLTT.CD.GG.AR.EX.US,"Gross Ext. Debt Pos., General Government, Long-term, Trade credit and advances, Exchange rate chg, USD"
DT.DOD.DLTT.CD.GG.AR.GE.US,"Gross Ext. Debt Pos., General Government, Long-term, Trade credit and advances, Beginning pos., USD"
DT.DOD.DLTT.CD.GG.AR.NE.US,"Net Ext. Debt Position, General Government, Long-term, Trade credit and advances, USD"
DT.DOD.DLTT.CD.GG.AR.OC.US,"Gross Ext. Debt Pos., General Government, Long-term, Trade credit and advances, Other chg in vol., USD"
DT.DOD.DLTT.CD.GG.AR.PX.US,"Gross Ext. Debt Pos., General Government, Long-term, Trade credit and advances, Other price chg, USD"
DT.DOD.DLTT.CD.GG.AR.TR.US,"Gross Ext. Debt Pos., General Government, Long-term, Trade credit and advances, Transactions, USD"
DT.DOD.DLTT.CD.GG.AR.US,"Gross Ext. Debt Pos., General Government, Long-term, Trade credit and advances, USD"
DT.DOD.DLTT.CD.HN.US,"Gross Ext. Debt Pos., HH and nonprofit institu. (NPISHs), Long-term, Trade credit and advances, USD"
DT.DOD.DLTT.CD.MA.AR.BE.US,"Gross Ext. Debt Pos., Central Bank, Long-term, Trade credit and advances, Beginning of period, USD"
DT.DOD.DLTT.CD.MA.AR.EA.US,"Ext. Assets in Debt Instruments, Central Bank, Long-term, Trade credit and advances, USD"
DT.DOD.DLTT.CD.MA.AR.EN.US,"Gross Ext. Debt Pos., Central Bank, Long-term, Trade credit and advances, end of period, USD"
DT.DOD.DLTT.CD.MA.AR.EX.US,"Gross Ext. Debt Pos., Central Bank, Long-term, Trade credit and advances, Exchange rate chg, USD"
DT.DOD.DLTT.CD.MA.AR.GE.US,"Gross Ext. Debt Pos., Central Bank, Long-term, Trade credit and advances , Beginning pos., USD"
DT.DOD.DLTT.CD.MA.AR.NE.US,"Net Ext. Debt Position, Central Bank, Long-term, Trade credit and advances , USD"
DT.DOD.DLTT.CD.MA.AR.OC.US,"Gross Ext. Debt Pos., Central Bank, Long-term, Trade credit and advances, Other chg in vol., USD"
DT.DOD.DLTT.CD.MA.AR.PX.US,"Gross Ext. Debt Pos., Central Bank, Long-term, Trade credit and advances, Other price chg, USD"
DT.DOD.DLTT.CD.MA.AR.TR.US,"Gross Ext. Debt Pos., Central Bank, Long-term, Trade credit and advances, Transactions, USD"
DT.DOD.DLTT.CD.MA.AR.US,"Gross Ext. Debt Pos., Central Bank, Long-term, Trade credit and advances, USD"
DT.DOD.DLTT.CD.NC.US,"Gross Ext. Debt Pos., Nonfinancial corporations, Long-term, Trade credit and advances, USD"
DT.DOD.DLTT.CD.OF.US,"Gross Ext. Debt Pos., Other financial corporations, Long-term, Trade credit and advances, USD"
DT.DOD.DLTT.CD.OT.AR.BE.US,"Gross Ext. Debt Pos., Other Sectors, Long-term, Trade credit and advances, Beginning of period, USD"
DT.DOD.DLTT.CD.OT.AR.EA.US,"Ext. Assets in Debt Instruments, Other Sectors, Long-term, Trade credit and advances, USD"
DT.DOD.DLTT.CD.OT.AR.EN.US,"Gross Ext. Debt Pos., Other Sectors, Long-term, Trade credit and advances, end of period, USD"
DT.DOD.DLTT.CD.OT.AR.EX.US,"Gross Ext. Debt Pos., Other Sectors, Long-term, Trade credit and advances, Exchange rate chg, USD"
DT.DOD.DLTT.CD.OT.AR.GE.US,"Gross Ext. Debt Pos., Other Sectors, Long-term, Trade credit and advances, Beginning pos., USD"
DT.DOD.DLTT.CD.OT.AR.NE.US,"Net Ext. Debt Position, Other Sectors, Long-term, Trade credit and advances, USD"
DT.DOD.DLTT.CD.OT.AR.OC.US,"Gross Ext. Debt Pos., Other Sectors, Long-term, Trade credit and advances, Other chg in vol., USD"
DT.DOD.DLTT.CD.OT.AR.PX.US,"Gross Ext. Debt Pos., Other Sectors, Long-term, Trade credit and advances, Other price chg, USD"
DT.DOD.DLTT.CD.OT.AR.TR.US,"Gross Ext. Debt Pos., Other Sectors, Long-term, Trade credit and advances, Transactions, USD"
DT.DOD.DLTT.CD.OT.AR.US,"Gross Ext. Debt Pos., Other Sectors, Long-term, Trade credit and advances, USD"
DT.DOD.DSTT.CD.CB.AR.BE.US,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Trade credit and advances, Beginning of period, USD"
DT.DOD.DSTT.CD.CB.AR.EA.US,"Ext. Assets in Debt Instruments, Deposit-Taking Corp., exc. CB, Short-term, Trade credit and advances, USD"
DT.DOD.DSTT.CD.CB.AR.EN.US,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Trade credit and advances, end of period, USD"
DT.DOD.DSTT.CD.CB.AR.EX.US,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Trade credit and advances, Exchange rate chg, USD"
DT.DOD.DSTT.CD.CB.AR.GE.US,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Trade credit and advances, Beginning pos., USD"
DT.DOD.DSTT.CD.CB.AR.NE.US,"Net Ext. Debt Position, Deposit-Taking Corp., exc. CB, Short-term, Trade credit and advances, USD"
DT.DOD.DSTT.CD.CB.AR.OC.US,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Trade credit and advances, Other chg in vol., USD"
DT.DOD.DSTT.CD.CB.AR.PX.US,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Trade credit and advances, Other price chg, USD"
DT.DOD.DSTT.CD.CB.AR.TR.US,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Trade credit and advances, Transactions, USD"
DT.DOD.DSTT.CD.CB.AR.US,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Trade credit and advances, USD"
DT.DOD.DSTT.CD.GG.AR.BE.US,"Gross Ext. Debt Pos., General Government, Short-term, Trade credit and advances, Beginning of period, USD"
DT.DOD.DSTT.CD.GG.AR.EA.US,"Ext. Assets in Debt Instruments, General Government, Short-term, Trade credit and advances, USD"
DT.DOD.DSTT.CD.GG.AR.EN.US,"Gross Ext. Debt Pos., General Government, Short-term, Trade credit and advances, end of period, USD"
DT.DOD.DSTT.CD.GG.AR.EX.US,"Gross Ext. Debt Pos., General Government, Short-term, Trade credit and advances, Exchange rate chg, USD"
DT.DOD.DSTT.CD.GG.AR.GE.US,"Gross Ext. Debt Pos., General Government, Short-term, Trade credit and advances, Beginning pos., USD"
DT.DOD.DSTT.CD.GG.AR.NE.US,"Net Ext. Debt Position, General Government, Short-term, Trade credit and advances, USD"
DT.DOD.DSTT.CD.GG.AR.OC.US,"Gross Ext. Debt Pos., General Government, Short-term, Trade credit and advances, Other chg in vol., USD"
DT.DOD.DSTT.CD.GG.AR.PX.US,"Gross Ext. Debt Pos., General Government, Short-term, Trade credit and advances, Other price chg, USD"
DT.DOD.DSTT.CD.GG.AR.TR.US,"Gross Ext. Debt Pos., General Government, Short-term, Trade credit and advances, Transactions, USD"
DT.DOD.DSTT.CD.GG.AR.US,"Gross Ext. Debt Pos., General Government, Short-term, Trade credit and advances, USD"
DT.DOD.DSTT.CD.HN.US,"Gross Ext. Debt Pos., HH and nonprofit institu. (NPISHs), Short-term, Trade credit and advances, USD"
DT.DOD.DSTT.CD.MA.AR.BE.US,"Gross Ext. Debt Pos., Central Bank, Short-term, Trade credit and advances, Beginning of period, USD"
DT.DOD.DSTT.CD.MA.AR.EA.US,"Ext. Assets in Debt Instruments, Central Bank, Short-term, Trade credit and advances, USD"
DT.DOD.DSTT.CD.MA.AR.EN.US,"Gross Ext. Debt Pos., Central Bank, Short-term, Trade credit and advances, end of period, USD"
DT.DOD.DSTT.CD.MA.AR.EX.US,"Gross Ext. Debt Pos., Central Bank, Short-term, Trade credit and advances, Exchange rate chg, USD"
DT.DOD.DSTT.CD.MA.AR.GE.US,"Gross Ext. Debt Pos., Central Bank, Short-term, Trade credit and advances, Beginning pos., USD"
DT.DOD.DSTT.CD.MA.AR.NE.US,"Net Ext. Debt Position, Central Bank, Short-term, Trade credit and advances, USD"
DT.DOD.DSTT.CD.MA.AR.OC.US,"Gross Ext. Debt Pos., Central Bank, Short-term, Trade credit and advances, Other chg in vol., USD"
DT.DOD.DSTT.CD.MA.AR.PX.US,"Gross Ext. Debt Pos., Central Bank, Short-term, Trade credit and advances, Other price chg, USD"
DT.DOD.DSTT.CD.MA.AR.TR.US,"Gross Ext. Debt Pos., Central Bank, Short-term, Trade credit and advances, Transactions, USD"
DT.DOD.DSTT.CD.MA.AR.US,"Gross Ext. Debt Pos., Central Bank, Short-term, Trade credit and advances, USD"
DT.DOD.DSTT.CD.NC.US,"Gross Ext. Debt Pos., Nonfinancial corporations, Short-term, Trade credit and advances, USD"
DT.DOD.DSTT.CD.OF.US,"Gross Ext. Debt Pos., Other financial corporations, Short-term, Trade credit and advances, USD"
DT.DOD.DSTT.CD.OT.AR.BE.US,"Gross Ext. Debt Pos., Other Sectors, Short-term, Trade credit and advances, Beginning of period, USD"
DT.DOD.DSTT.CD.OT.AR.EA.US,"Ext. Assets in Debt Instruments, Other Sectors, Short-term, Trade credit and advances, USD"
DT.DOD.DSTT.CD.OT.AR.EN.US,"Gross Ext. Debt Pos., Other Sectors, Short-term, Trade credit and advances, end of period, USD"
DT.DOD.DSTT.CD.OT.AR.EX.US,"Gross Ext. Debt Pos., Other Sectors, Short-term, Trade credit and advances, Exchange rate chg, USD"
DT.DOD.DSTT.CD.OT.AR.GE.US,"Gross Ext. Debt Pos., Other Sectors, Short-term, Trade credit and advances, Beginning pos., USD"
DT.DOD.DSTT.CD.OT.AR.NE.US,"Net Ext. Debt Position, Other Sectors, Short-term, Trade credit and advances, USD"
DT.DOD.DSTT.CD.OT.AR.OC.US,"Gross Ext. Debt Pos., Other Sectors, Short-term, Trade credit and advances, Other chg in vol., USD"
DT.DOD.DSTT.CD.OT.AR.PX.US,"Gross Ext. Debt Pos., Other Sectors, Short-term, Trade credit and advances, Other price chg, USD"
DT.DOD.DSTT.CD.OT.AR.TR.US,"Gross Ext. Debt Pos., Other Sectors, Short-term, Trade credit and advances, Transactions, USD"
DT.DOD.DSTT.CD.OT.AR.US,"Gross Ext. Debt Pos., Other Sectors, Short-term, Trade credit and advances, USD"
DT.DOD.PRTC.LT.AR.US,"Publicly Guar. Private Sector Ext. Debt Pos., Long-term, Trade credit and advances, USD"
DT.DOD.PRTC.ST.AR.US,"Publicly Guar. Private Sector Ext. Debt Pos., Short-term, Trade credit and advances, USD"
DT.DOD.PUTC.LT.AR.US,"Public Sector Ext. Debt Pos., Long-term, Trade credit and advances, USD"
DT.DOD.PUTC.ST.AR.US,"Public Sector Ext. Debt Pos., Short-term, Trade credit and advances, USD"
DT.DOD.TCLT.CD.PR.AR.US,"Gross Ext. Debt Pos., Publicly Guar. Private Sector Ext. Debt, Long-term, Trade credit and advances, USD"
DT.DOD.TCLT.CD.PU.AR.US,"Gross Ext. Debt Pos., Public Sector Ext. Debt, Long-term, Trade credit and advances, USD"
DT.DOD.TCST.CD.PR.AR.US,"Gross Ext. Debt Pos., Publicly Guar. Private Sector Ext. Debt, Short-term, Trade credit and advances, USD"
DT.DOD.TCST.CD.PU.AR.US,"Gross Ext. Debt Pos., Public Sector Ext. Debt, Short-term, Trade credit and advances, USD"
DT.DOR.DLTT.CD.CB.US,"Gross Ext. Debt Pos., ST Rem., Deposit-Taking Corp., exc. CB, LT debt obg pmt 1year or less, Trade credit and advances, USD"
DT.DOR.DLTT.CD.GG.AR.US,"Gross Ext. Debt Pos., ST Rem., General Government, LT debt obg pmt 1year or less, Trade credit and advances, USD"
DT.DOR.DLTT.CD.MA.AR.US,"Gross Ext. Debt Pos., ST Rem., Central Bank, LT debt obg pmt 1year or less, Trade credit and advances, USD"
DT.DOR.DLTT.CD.OT.AR.US,"Gross Ext. Debt Pos., ST Rem., Other Sectors, LT debt obg pmt 1year or less, Trade credit and advances, USD"
DT.DOR.DSTT.CD.CB.AR.US,"Gross Ext. Debt Pos., ST Rem., Deposit-Taking Corp., exc. CB, ST debt on orig. maturity, Trade credit and advances, USD"
DT.DOR.DSTT.CD.GG.AR.US,"Gross Ext. Debt Pos., ST Rem., General Government, ST debt on orig. maturity, Trade credit and advances, USD"
DT.DOR.DSTT.CD.MA.AR.US,"Gross Ext. Debt Pos., ST Rem., Central Bank, ST debt on orig. maturity, Trade credit and advances, USD"
